(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 66, 66)
(255, 66, 66)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 66, 66)
(255, 66, 66)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 66, 66)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 66, 66)
(255, 255, 255)
(255, 255, 255)
(255, 66, 66)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 66, 66)
(255, 255, 255)
(255, 255, 255)
(255, 66, 66)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 66, 66)
(255, 66, 66)
(255, 66, 66)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 66, 66)
